  Reported_Date,Confirmed_Negative-Cumulative,Confirmed_Positive-Daily,Confirmed_Negative-Daily,Confirmed_Positive-Cumulative
2020-03-02,975,15,975,15
2020-03-03,1061,17,86,32
2020-03-04,1216,17,155,49
2020-03-05,1466,18,250,67
2020-03-06,1665,22,199,89
2020-03-07,1918,24,253,113
2020-03-08,2094,25,176,138
2020-03-09,2347,31,253,169
2020-03-10,2599,31,252,200
2020-03-11,2888,37,289,237
2020-03-12,3590,54,702,291
2020-03-13,4470,74,880,365
2020-03-14,5606,98,1136,463
2020-03-15,7004,140,1398,603
2020-03-16,8464,172,1460,775
2020-03-17,9415,183,951,958
2020-03-18,10305,208,890,1166
2020-03-19,12421,251,2116,1417
2020-03-20,13718,311,1297,1728
2020-03-21,15768,369,2050,2097
2020-03-22,17634,412,1866,2509
2020-03-23,19586,489,1952,2998
2020-03-24,21795,572,2209,3570
2020-03-25,24458,667,2663,4237
2020-03-26,26727,835,2269,5072
2020-03-27,29967,967,3240,6039
2020-03-28,33240,1117,3273,7156
2020-03-29,40630,1324,7390,8480
